id;title;author;publisher;price
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;98206
2;Developer compress transmit;synthesizing Director Concrete;Sleek Rubber Mouse generate;58450
3;Sudan connect Overpass;Accountability;Texas auxiliary;99140
4;Cotton Representative software;Bedfordshire calculating Toys;connecting;3543
5;Soft;FTP Points;violet Generic;19909
6;Mouse bus HTTP;wireless Consultant XML;Developer orchestrate;73120
7;Port turn-key Australian Dollar;panel;transmitting grow;8529
8;relationships;Coordinator backing up Ports;syndicate;88395
9;Soft;Chicken indigo;Personal Loan Account;72788
10;Sweden mobile Product;Web Checking Account Industrial;back-end Future-proofed compressing;93660
